category,venue_id,name,longitude,created_on,lattitude
food,38,Hard Rock Café,-3.6895592,1415272878,40.4262919
lodging,39,Petit Palace President Castellana,-3.6881547,1415269399,40.4292318
food,40,Alice Homemade,4.4544669,1395080051,50.8687731
food,41,Room 77,13.4179531,1365929649,52.493019
food,258,Nin Com Soup,-0.0876143,1421927553,51.5255775
default,29,Justiz-Caps,14.4534252,1389181307,50.0950734
food,1,Devonshire Arms,0.1390513,1370786241,52.1989253
lodging,2,Port Stephens Motor Lodge,152.150097,1412221903,-32.7187665
shopping,8226,Stack-Tech Computer Repair,-86.3466274738312,1465956215,40.7525644171388
cafe,3928,Nova Rosti,-122.499287,1399646864,37.9580745
default,8865,Advanced Computing ltd,23.0456256866455,1479749583,40.3225161001552
food,46,Härtekrug,9.7168731,1427731152,52.3670914
default,47,Identitätsstiftung GmbH,9.7350293,1430907077,52.3702884
default,50,Columbus Worship Center,-83.0055556,1386095442,39.9863889
atm,49,Bobby Burger,21.0032264,1418192330,52.2313715
default,51,Saint John The Evangelist Roman Catholic Church,-74.325,1383436754,41.4047222
default,52,Dezins Interactive,-91.0684555,1385449366,30.4094827
default,53,Mill Creek Community Church,-94.8606,1385566742,38.9859
default,54,Color-Glide ColorGlidePro.com - paint brush replacement  product,-117.7114158,1385055371,33.608786
attraction,55,Saint Petersburg Museum of History,-82.6305988,1408723158,27.773935
default,56,Law Office of Michael McLees,-98.5687186,1397232908,29.5241688
shopping,60,Laundry Locker Kiosk,-122.4234775,1409361742,37.7949855
cafe,61,Snakes & Lattes,-79.4130037,1403569846,43.6647999
default,58,제생한의원 (Jesaeng Oriental Medicine Clinic),126.457458,1410875539,36.782283
shopping,65,Skunk Funk,-122.4223164,1420665190,37.7678512
default,48,Pet Camp Cat Safari,-122.4461924,1420762098,37.7882789
sports,62,Yogarte,9.1394098,1374226786,45.4752538
food,63,Ana's on the beach,-61.8495595,1415731770,17.1565111
shopping,73,Cyclepath,-122.318096,1420753066,37.5555738
nightlife,57,Grossman's Tavern,-79.3989471,1402686557,43.6560303
food,67,The Birds Nest,-0.0226612,1390247659,51.4761795
default,68,FreeJobz Amsterdam,4.8917775,1387085629,52.3655461
transport,69,Tamoil,8.3190782,1401488003,46.2065817
shopping,70,Vlasové studio Petra Nowaková,17.2422572,1424379744,49.5946604
default,71,AntiRadary.NET s.r.o.,14.3718615,1404836726,50.0996098
default,72,Gappa Solutions s.r.o.,17.2817969,1415875844,49.6063251
default,76,iTek Graphics,-80.8215111,1405452629,35.2743463
food,74,"snackbar ""De Hoefslag""",5.3636061,1383680703,52.160142
atm,75,The Dog's Bollix Pub (BTC ATM),174.7531083,1390252903,-36.8599089
food,79,Saim Orchid Japanese Restaraunt,-80.611025,1401472311,28.333289
nightlife,78,Pi-nuts,3.7254069,1428009778,51.0435838
food,82,Thai Kitchen,-97.7416594,1397301102,30.2967459
default,80,Mansion Hill Veterinary Practice,-1.2759528,1416404770,52.0717185
shopping,84,Brooklyn Flea,-73.9692312,1429857148,40.6873932
nightlife,83,Le Gros Bar,0.691889,1417187458,47.3961491
grocery,85,Krust Bakery,-6.264294,1430919444,53.3436522
shopping,66,Polyester Books,144.978844,1384001968,-37.79726
food,44,Das kleine Museum,9.7074453,1422368371,52.3723322
default,9060,KAMRAN CHATTHA,72.9191994667053,1483131024,31.7467994213077
default,9061,KAMRAN CHATTHA,72.9194784164429,1483131033,31.7519997301077
default,86,Computel,7.7508834,1412285393,45.1075649
default,88,Viofarm,23.0132835,1401431194,45.8489973
grocery,89,Grow,8.6500972,1382533057,49.8696994
food,90,Tacoteca,7.5865613,1393945321,47.5489872
attraction,91,Jodie's Kitchen Cooking School,121.5745838,1383742237,25.0181253
lodging,105,Sandman Hotel & Suites Winnipeg Airport,-97.2038827,1405578271,49.897371
default,95,DiegoDev Group,-117.227693,1392330055,32.94998
default,96,Ares Armor,-117.3788832,1386790407,33.1967248
default,97,Heritage Senior Care,-117.348439,1388298618,33.164004
default,98,Invincible Creative,-117.188709,1398989281,32.76434
default,99,Villalobos SD,-117.2529544,1386205120,32.7959837
default,101,Computer and Ink Store,-117.243776,1413057081,32.799441
default,102,San Marcos Dental Center,-117.2003136,1386206225,33.1471342
transport,111,Irving,-71.5403094,1384022889,44.2744446
food,124,Chens Hunam Chinese Restaurant,-96.6091199,1395401212,39.1922528
food,104,Kafi Schoffel,8.5438017,1389103279,47.3712326
lodging,107,Sandman Hotel Vancouver City Centre,-123.1129606,1405584310,49.2788858
food,106,Oscar Lounge,6.9611641,1429988771,50.9369979
cafe,108,Waves Coffee House,-123.1224892,1377270448,49.2807244
default,9062,KAMRAN CHATTHA,72.9114103317261,1483131048,31.7588235518399
food,94,Great Wall Express,-97.8533226,1397418338,30.5499212
default,9063,KAMRAN CHATTHA,72.9173648357391,1483131059,31.7580390203886
default,112,Royal Bohemian Crystal,15.2702063,1384862630,50.6973488
lodging,113,Clink 261,-0.1200706,1394004656,51.5290096
default,114,realraum,15.4505767,1407761721,47.0655785
shopping,115,Camping Dalen,8.0075507,1404740055,59.4445706
default,116,Himalayan People,-0.088663,1385968603,51.5271838
default,117,Xcovers.cz,16.1059363,1418472309,50.2433201
food,118,Dionysos,18.0850366,1388249810,59.3135253
nightlife,119,Cafè Guldhornene,12.5691017,1426601770,55.6771501
nightlife,120,Heidi's Bier Bar,12.5694568,1426601770,55.6773855
food,121,Utopia Bar & Restaurant,102.1401794,1402055299,19.8881185
default,122,CA Radost,17.9193025,1394311692,49.9174351
default,123,CeX,-0.1343142,1414337601,51.5176692
default,9064,KAMRAN CHATTHA,72.8915405273437,1483131113,31.7713751506284
default,125,Juniorbit Sas - Informatica,9.1370482,1390325167,45.5019349
food,127,Sushibar Satzuma,18.053015,1405180962,59.2961262
cafe,87,Alchymista,14.4171779,1389354644,50.1008874
lodging,92,Sandman Hotel & Suites Calgary West,-114.2085113,1405576634,51.0851087
default,9065,KAMRAN CHATTHA,72.8489685058594,1483131120,31.7223266802243
default,129,Chaos Cowork Cluj,23.5898366,1413043777,46.7716796
default,135,Benjamin Sports Inc.,-79.3423214,1409042966,43.6931896
grocery,132,J. H. Mann - Fishmonger,-1.497067,1398233116,53.3675802
cafe,133,The Brooklyn Café,-4.2796174,1389704296,55.8318061
default,134,Farmàcia Simon Bombi,2.8198917,1432506902,41.9761838
lodging,163,Sandman Hotel & Suites Kelowna,-119.440302,1405579918,49.8824414
lodging,136,Gästehof Apolony,10.7680096,1389222642,53.7678697
lodging,137,Chalupa Komňátka,16.8796875,1385501721,50.0180775
default,9066,KAMRAN CHATTHA,73.0680084228516,1483131135,31.8256484960194
food,139,Vegemesta,23.7547799,1405258104,61.4991966
attraction,140,University of Cumbria Ambleside Campus,-2.9642364,1401468698,54.4358207
cafe,142,Burgcafé,13.4704152,1422638677,48.5774555
food,143,Tian Restaurant,16.3745292,1416232799,48.2052633
food,145,400 Beach Seafood,-82.631548,1418692590,27.777371
food,146,Ferg's Sports Bar & Grill,-82.6523574,1408767986,27.7709052
food,154,Mama Rosa Rotisserie & Grill,-76.4505536,1396080298,39.3475198
attraction,147,"Dětské Centrum Hobík (školka, kroužky)",14.3165338,1385547188,49.9335938
default,148,gobit.cz - umožňuje přijímat platby v bitcoinech,14.2364788,1385681450,49.9208226
default,149,Primaleva Massage,11.9017638,1396344165,57.6549895
attraction,150,Filmhuis Cavia,4.8703456,1396538879,52.3819756
food,151,Dolce Vita,74.5905907,1375365302,42.8431935
food,152,Lago delle Rose,8.4027712,1404213034,45.9763815
shopping,159,Macy's,-74.5519558,1394677112,40.9076669
shopping,156,Hawsib Information Technologies,35.2243887,1398541713,31.7125521
food,157,Adana Grill,6.1510963,1384007933,51.3677106
food,158,Joseph Grill,6.1511367,1383999916,51.3674702
shopping,160,Lord & Taylor,-74.5552585,1394676758,40.9073762
food,165,China City,-82.3995584,1395115329,28.1000502
food,161,De Nieuwe Winkel,5.8688296,1413379588,51.8453363
food,162,Subway,37.5202352,1384022274,55.9317618
default,164,Sun of A Gun,-75.7115951,1398793100,45.4001728
default,170,http://www.themodernshop.ca/,-75.6939621,1394239136,45.4264515
shopping,171,Counterbalance Bicycles,-122.2958156,1397057901,47.6648179
default,166,CeX Cardiff,-3.1787073,1417699718,51.4767866
default,167,Progressbar,17.1065474,1365876147,48.1442725
food,168,U Malířů,14.4053181,1429107086,50.0864594
nightlife,169,QWERTZ,6.6340684,1417216944,46.5183958
nightlife,131,Rooted Kava Bar,-117.1297638,1402005836,32.7478087
nightlife,130,Grumpy's Green,144.983027,1390044177,-37.80524
default,128,Michal Photo,-6.1327079,1388753318,53.284784
default,173,Andrago Winery,14.4503536,1412783131,49.7808809
shopping,175,John Landot,2.2443054,1373125113,48.8431028
lodging,189,Sandman Hotel Castlegar,-117.6555992,1405579333,49.296331
lodging,180,Pacific Tradewinds Hostel,-122.4042094,1365922552,37.7937071
default,179,soon bitcoinkiosk.ch,17.016939,1394048908,51.0859286
food,183,Bamboo Bistro North,-97.7196383,1397269594,30.3958149
default,181,Farmacia Optica Agostini,-58.0425912,1401047989,-34.8662606
shopping,182,Ulrich Buhmann,10.1798307,1385468467,47.9860263
food,185,Bombay Bistro,-97.7474271,1397272545,30.3986564
default,184,brmlab,14.4359065,1362308915,50.0984671
food,194,The Ale and the Witch,-82.633613,1416843973,27.773918
lodging,187,EcoHotel Gora,27.8294873,1418307770,42.7621292
shopping,193,Euro Flowers,-79.5876526,1426900708,43.5495948
cafe,190,Bohne,9.7064773,1418634218,52.3739428
default,192,CeX Glasgow Sauchiehall,-4.2627761,1408378523,55.8654691
lodging,215,Sandman Hotel & Suites Calgary South,-114.0452219,1405576418,50.9815732
food,199,King Wok,-94.4175927,1396332282,39.0408505
transport,195,Area di Servizio Petrol-Airport,11.1230431,1423738983,46.0384428
food,197,Nick's Cafe,-61.415486,1429528825,10.556875
lodging,198,Affittacamere B&B Cagliari Novecento,9.1111319,1418408492,39.2160131
food,201,Mama Garden,-94.4160484,1396333406,39.0402008
food,200,Bofinn,-3.6835198,1415272730,40.4351252
food,202,Tamero,-3.6865757,1415272615,40.4365907
food,203,La Úrsula,-3.6865518,1403285375,40.437361
food,204,La Taberna,-3.6865027,1415272642,40.437451
food,205,La Armonia,-3.6848207,1415272509,40.4361646
food,206,Mesón 5Jotas,-3.6862478,1415272593,40.4361971
food,207,Ori,-3.6861892,1415272574,40.4364074
food,208,El Séptimo,-3.6849646,1415272698,40.4351692
food,209,El Asador de Aranda,-3.6844928,1415272713,40.4352013
default,211,do you space,13.4581799,1407061614,52.5177555
shopping,212,Fahrradküche Graz,15.4423455,1403451621,47.063834
shopping,213,Tricky Tunes,13.462218,1380906332,52.5133689
default,214,Helsinki Shooting Club,24.9327511,1409162341,60.1645366
lodging,172,Stage West,-79.6311358,1405578763,43.6422697
attraction,176,Doctor Recommended,-119.504094,1385815253,49.8807247
food,177,Moe's Original Bar B Que,-105.2539748,1413064829,39.9991059
default,8227,L'atelier de l'éphémère,2.36894845962524,1465975365,48.8293565716664
default,9527,Seoul Coin,14.4665479660034,1488434921,50.1106437171936
default,9528,Stadler Völkel Rechtsanwälte,16.3740867376328,1488455740,48.2046409519133
default,219,Organica: Garden Supply & Hydroponics,-73.784384,1402449591,42.6402694
default,221,Red Door Movie Rental,-122.1479633,1415410545,37.4269015
food,222,VeggieGalaxy,-71.1011293,1367401404,42.3636635
shopping,226,The Bicycle Stable,-75.1345113,1418872293,39.9724031
food,227,Thai Passion - Downtown,-97.7428345,1397301292,30.2689156
lodging,318,Bergasthof Plörr,11.4136741,1395831877,46.5637114
grocery,223,Drogheria Micheli,11.0439284,1423589906,45.888989
shopping,224,Silver Moon,17.1188022,1393556209,48.1471429
lodging,225,Hotel van Walsum,4.4643255,1392415051,51.9151473
food,228,Green Tea Sushi Bar,-96.5740607,1395400820,39.1850563
lodging,230,Mariner's Inn,-121.1120376,1388651481,35.572302
default,232,Netsville,-77.6189344,1388441567,43.1550576
nightlife,229,Callejón de Serrano,-3.6872715,1409824787,40.4326692
shopping,242,Rooks Comics and Games,-111.0740236,1383176751,45.6723056
food,244,Pie Hole,-111.8885341,1389025552,40.7616461
default,233,Rechtsanwalt Daniel Dietrich,7.924502,1383905170,53.2588316
default,234,M & M Hair and Beauty,-0.3323122,1414404490,51.5821466
default,235,CeX Harrow,-0.3323591,1417699719,51.5821146
default,236,Whitespace,3.7326004,1424461007,51.0597214
nightlife,237,5 voor 12,3.7215045,1428010563,51.0547053
food,238,Pattaya Beer Garden,100.874346,1393939077,12.9280252
default,240,MBR Architettura,9.1061094,1374227669,45.4609305
default,247,Unleaded Group,-104.9871359,1418083670,39.7548245
food,243,Friesenkate,8.6083517,1388764725,54.315705
food,245,3 Amigos,-6.1011288,1390081801,53.2039061
cafe,246,Cafe & Bar Diesels,16.3951162,1401361632,48.191622
food,248,Porto Pirata,-58.3732278,1404804983,-34.596169
cafe,218,The French Press Cafe & Creperie,-73.7504154,1392000270,42.6540939
food,250,EDA Milano,9.2210821,1401180699,45.4797273
food,253,Two Brothers BBQ Woodlawn,-97.2617458,1396010273,37.7510094
food,254,Pho Thaison Vietnamese Cuisine,-97.7329828,1397299467,30.3578376
food,255,Pilėnai,25.2795982,1405720718,54.6726313
lodging,256,Азарея,24.639129,1386712407,42.8747552
shopping,257,Gameswap,3.7213797,1411820435,51.049848
cafe,217,Twang,18.0788131,1400745515,59.3117663
default,8228,Detektywi Gorzów,15.23606300354,1466020184,52.730964493116
attraction,280,"Gospodarstwo Agroturystyczno - Ekologiczne""Stajnia Leźno""",19.7032346,1386944559,53.2710389
food,264,PYT,-75.1391589,1418872254,39.9665561
lodging,263,Apartmán ajaj,18.9057165,1385830645,48.4506331
default,266,It Is Vapor,-122.2264733,1419672706,37.4855589
shopping,265,Bertamini,10.8760253,1433312817,45.869228
food,269,Moksa,-71.1010542,1399490129,42.3636159
default,267,n7media - Agentur für Kommunikations- und Webdesign,10.163109,1389110463,53.6528377
default,268,Kunstkopien in Öl auf Leinwand - Dorothea Adam,9.0330749,1400621284,51.6267552
food,273,One Stop Coney Shop,-85.6645169,1393649512,42.9630238
lodging,270,Hotel San Martín,-68.8448455,1373401799,-32.8883981
food,271,Pizzeria Tiepolo,12.2857136,1398602987,45.6771049
shopping,272,Otherland,13.3947046,1381173257,52.4888868
cafe,278,Minh's Cafe,-97.7504309,1397296997,30.4287281
lodging,274,Pole namiotowe,19.6458031,1400001308,53.2000961
lodging,275,La Casa del Almirante,-71.5651245,1403486149,-33.0268673
default,276,michele silvestri,8.1048822,1397052767,45.5815867
attraction,277,Das Russische Sprachstudio,8.5338035,1374240336,47.3810339
default,282,Steve Alper DMD,-73.9907073,1385489709,40.7389191
food,283,Jia,5.3745371,1387841036,52.1549622
default,284,BOTENDIENST|QUICKTRANSPORT.AT,16.3733152,1414180363,48.1872898
food,288,ZCrêpes Café,-81.86325,1393078866,26.6428482
grocery,286,K-Market Jätkäsaari,24.9195985,1432929222,60.1603553
lodging,287,La Porte Cochère,2.882953,1431604176,50.8493957
default,292,Bars 'N Beats Recording Studio,-74.6529196,1387380611,40.5009856
food,289,Spis,24.9478673,1417000702,60.1637887
default,290,PerronHosting.com,-73.978673,1392585150,45.7703
grocery,296,Cups and Cakes Bakery,-122.4092269,1365918799,37.7720246
lodging,293,Cheapsleep Hostel,24.956026,1385485677,60.193792
default,295,กองตำรวจสื่อสาร,100.6171651,1421255818,13.8635545
food,298,Lido Asian Cuisine,-97.5317178,1397053676,35.4950363
default,297,?,17.6494571,1417178591,49.220221
default,259,Romantikresort,13.2427051,1366300752,48.7096216
default,8418,www.Manunu.eu,16.9013983011246,1470985470,52.4097888162611
default,301,Masshemden Atelier Voglhuber,16.3421012,1401966552,48.2243996
default,321,Sara's KW Driving Academy,-80.4910633,1395248839,43.4496827
food,310,Padthai Thai Restaurant,-97.4422524,1397052068,35.2115934
default,304,Clínica Lucq,-5.9786981,1385854474,37.3744381
default,305,Alternativhälsan Östermalm,18.0954851,1386234831,59.3457035
default,306,Peyer Fine Art GmbH,8.5409899,1384974419,47.3723846
food,308,이자카야 동경구락부,127.0292663,1404008794,37.585497
shopping,309,Okrasná školka Droždín,17.3340746,1426093958,49.6124609
default,311,CoVis CoWorking,-96.0826749,1385474327,41.2498239
default,322,Paper Street Market,-82.6473269,1418747200,27.7713227
food,313,boca gastrobar,9.7408566,1427731810,52.3881503
food,315,Portside,22.5063515,1422028740,60.0195582
nightlife,316,awabar,139.732237,1414622890,35.663793
lodging,317,Paprika Hostel,19.0614269,1403522814,47.5054819
default,319,Κόμμα Πειρατών Ελλάδας - Pirate Party of Greece - Κεντρικό Γραφείο,23.7282673,1387065943,37.9776512
default,303,New Mexico Tea Company,-106.658747,1366300638,35.0957414
food,323,Yummy Thai,-82.6450904,1395123772,27.8668929
food,333,Oriental Express,-95.7605191,1395823521,39.0150333
lodging,302,Sandman Hotel Revelstoke,-118.2180204,1405581964,51.0099889
default,325,Lumen GmbH,9.7754914,1430906697,52.3285705
default,326,Centrum Mebli Rattanowych i Stylowych,21.0776991,1403104868,52.2002489
default,327,Elektro-Instalacje,20.9573612,1391106738,52.2248906
lodging,328,Viceroy Bali,115.2775511,1407564935,-8.4939982
food,329,Crêperie des Pâquis,6.1485351,1386790407,46.2113057
grocery,330,K-Market Mansku,24.918532,1428655290,60.1875733
attraction,331,michal kindergarden,34.773014,1387227911,32.0700275
default,332,Didoo Cafe,34.787301,1391209696,32.091112
food,334,Asian Cafe,-95.7254529,1395821389,39.0278373
lodging,335,Clevelander Hotel,-80.1309841,1390882878,25.7805541
default,339,Penn Animal Hospital,-75.8819666,1391293171,39.8231819
default,336,Aurelius Interactive,20.6412159,1381316515,52.1073717
default,337,Bezpol,22.0338827,1391542470,50.0380472
cafe,338,Literárna kaviareň,18.739157,1367599242,49.223973
default,324,Eclectico,144.9803739,1384001715,-37.8694322
lodging,300,Blue House B&B,-21.9986506,1397329635,64.1540263
default,8231,Jürg Kradolfer,7.22741603851318,1466061737,47.1119916118434
default,341,Venusia,6.1407722,1403706028,46.1934179
shopping,345,Arden Jewelers,-121.3983679,1414224449,38.5956986
lodging,344,Apartamentos Otorongo,-79.0139429,1401231528,-2.8969103
shopping,349,The Trunk Stylists,-82.6426345,1418225950,27.7713544
food,366,RE-UP BBQ,-122.9115154,1398449168,49.200092
default,348,CeX Leeds,-1.5443754,1414403971,53.7995573
shopping,353,The Broken Spoke,-122.7567278,1411768866,48.1148885
default,351,JSV International Assistant Service,14.3323303,1418556044,50.0392863
cafe,364,Papa G's,-122.6421431,1383705816,45.5046824
default,354,artx Designagentur Berlin,13.4231381,1387368257,52.5313206
cafe,355,Blueberry,18.0786645,1420457905,59.3347281
nightlife,356,DRUŽBA BOULDERING WALL,18.1822722,1389625820,49.8370839
default,368,Anonymous Tattoo,-81.0907363,1418404190,32.0805836
nightlife,358,Mani Al Cielo,11.0443447,1419373070,45.8881405
shopping,359,Malefitz,16.3333442,1414690317,48.1807703
cafe,370,Squirrel Café,144.998243,1404048837,-37.794259
cafe,361,Foxx Bar,11.9684561,1385989606,57.6986649
default,362,Bellezza Studio,11.0364056,1427897546,45.8907824
default,696,Ventonegro - Mountain Guide,-68.8625203,1380210113,-32.9337069
food,363,Mare Nero,8.1131385,1391453531,49.8396681
food,375,Bi Bim Bap Korean-Japanese Sushi Restaurant,-96.5728488,1395399369,39.1860273
nightlife,365,Bar e Bicicletaria Las Magrelas,-46.6922432,1362078778,-23.5565056
default,343,Underhill's Games,-81.5080686,1390642337,41.1304234
lodging,367,Kyrios Pousada,-45.5616388,1362409232,-23.7860366
food,373,Brooklyn South,-82.653952,1418693474,27.7712825
default,369,MusicON,21.15293,1378982954,52.30844
lodging,371,Apartment Eucalyptus,15.157466,1385686096,36.9200158
cafe,372,Циферблат,30.5158687,1399448731,50.447473
food,376,SUBWAY Zelny trh,16.6096883,1426278006,49.1927975
default,377,London Hackspace,-0.0608219,1365897674,51.5321142
default,378,Il Giornale,9.1844258,1403865667,45.4653323
food,360,The South Melbourne Trader,144.956894,1410131953,-37.83049
default,8976,Lan Gamer,-43.9574253559113,1481716520,-19.8612660684149
default,9067,KAMRAN CHATTHA,72.9059600830078,1483131143,31.8157299428383
nightlife,381,LUX,9.7205471,1422015840,52.3681975
food,382,SUBWAY Rohlenka,16.7609876,1387200321,49.1839015
default,383,Ineo,20.3898505,1406959880,44.7992416
default,384,Hringbraut,-21.954324,1398989106,64.146661
default,385,Hávallagata,-21.9513614,1398989106,64.1477119
nightlife,387,פיקוק,34.7803113,1400150559,32.0714337
shopping,388,דודי בן ישי - Dudi Ben Yishay,34.7802469,1404634568,32.0714269
food,394,Ricky P's,-82.650522,1416844255,27.771341
lodging,391,Hotel Viejo Telmo,-58.3798969,1417016136,-34.6153111
lodging,392,Hotel Argenta Tower,-58.3795149,1417446920,-34.5930895
lodging,393,Hotel Boutique Le Vitral Baires,-58.395126,1417646649,-34.606136
nightlife,398,EVR NYC,-73.984652,1365972694,40.7524774
default,395,Qrubit,-110.3026602,1365905823,24.121471
default,396,Edds Englisch,11.8698283,1367168403,52.6114825
food,397,בר-קיימא,34.7710971,1365927560,32.0591092
default,400,Vegas Budget Dental,-115.2327178,1366040095,36.1258841
shopping,405,Overland Park Jeep Dodge Ram Chrysler,-94.6669718,1366214109,38.9699111
food,401,Carena Bar - Restaurant,20.6012471,1366041933,38.3032742
attraction,403,CESYT,-58.5198403,1366126955,-34.4695284
lodging,407,Urban Living Suites,-79.4074544,1366303792,43.651902
default,406,Total Roofing,-104.7132847,1366300019,38.8558931
default,408,Model Printing internet cafe,-118.3740182,1366438893,34.1643282
default,380,Mac's Coins & Collectables,-122.0328367,1386553782,37.3780322
food,409,Parnell's Pub,-81.5652517,1397050219,41.5008146
default,411,INGUARD,-85.8241762,1366642103,40.7954798
default,697,Temascal,-70.545057,1380210672,-33.5203143
food,410,AntiDomingo - Restaurante -  Espacio de Arte,-58.4827456,1366576092,-34.5429378
grocery,412,Elevated Beer Wine & Spirits,-93.2238299,1401224144,44.9277216
default,413,Caring Dentists,-86.02414,1366643318,39.7961477
lodging,415,Arbogast Inn,-79.5848885,1367185598,38.4147973
default,414,חבר על ארבע,34.9868298,1366652041,32.7851831
sports,418,Peeper Ranch,-94.8917005,1366822264,38.9625124
default,417,BitcoinSolution UG,7.8135466,1414522366,48.5768535
shopping,419,Cyber Computers,-122.2629487,1367179666,38.1098063
shopping,420,ABQBitcoins,-106.6432031,1367164525,35.0936542
default,422,Jay Cohen Attorney,-95.3602521,1367259280,29.7633158
default,421,Ecogex,2.3693991,1367166038,48.8508512
food,423,Restaurant Le 43,2.3500641,1387972036,48.8281212
default,402,Ark Army Surplus,-79.4714987,1366054227,43.7298396
nightlife,379,The Forum,-2.101886,1398955898,49.1823853
default,425,OpenLab,10.8867806,1375869241,48.3577357
default,431,Hive76,-75.1535149,1387380689,39.9620241
lodging,427,Galilee Bedouin Camplodge,35.1671927,1367684440,32.7473117
shopping,428,Ruben og Bobby,12.5451958,1367852894,55.6919311
default,437,Fairtax Business Services,-80.4910233,1395248181,43.4497252
shopping,432,Bucephalus Bikes,-87.6933691,1390153987,42.0439539
default,435,"Accelerated Global - Website Design, SEO, Social Media, Internet Marketing",-82.4675148,1373977128,28.2545197
nightlife,433,Anker Klub,19.0555471,1416770680,47.4981089
shopping,438,Buyer's Best Friend Wholesale & Market,-122.3928736,1368481112,37.7949012
shopping,439,Mercato,-122.4082139,1368481248,37.799094
lodging,436,El Diablo y la Sandía,-96.7194275,1373113734,17.0622261
atm,444,Bitcoin ATM @ Father and Sons,-75.6812834,1400434246,45.4236594
default,448,Bear & Birch Russian Sauna,-74.254887,1369783344,40.2386813
food,453,Stix,-94.8266002,1395349473,39.1257138
grocery,440,Mundo Nipón,-3.7209567,1381426513,40.3164912
food,441,Karakter,5.9015192,1401212651,51.9833075
default,442,ZB45 makerspace,4.9371836,1368726899,52.3669615
default,445,3D tlač - MarSal Tech,17.1333048,1369510312,48.1884173
lodging,446,Lekkerurlaub,13.4193216,1374079032,52.4947545
shopping,426,Brave New Books,-97.7422902,1367614340,30.2822276
food,456,Mai Thai,-97.741411,1397296688,30.264266
default,449,Fire & Ice - Fire dancers Cape Town,18.5068705,1384864393,-33.9309411
default,450,Carregador Telemóveis Bitcoin,-8.420859,1369853427,40.1953477
lodging,451,Schinkler B&B,-0.0475145,1369858527,51.4453074
lodging,452,Hillside B&B,-1.7933118,1397823876,51.0338414
default,465,Accountable Moving & Storage,-122.331924,1374341558,47.5542827
food,454,Nom Noms,169.7384583,1370258723,-46.2388791
default,455,"Massage, Reiki, Reflexotherapy",28.6276082,1370347455,44.1977147
default,457,BLB Studio Legale,9.1734123,1406220475,45.4621248
shopping,458,Bit2c,34.7820282,1373290756,32.0733562
shopping,459,Paisajismo Creativo,-72.5000885,1370838045,7.8978667
cafe,461,Wall Street Café,9.5034086,1379273612,45.6616644
default,462,Meidänklinikka,24.8601699,1371071814,60.2474293
default,463,Zaar Properties,-0.1075162,1392136410,51.3828723
default,464,BitcoinPeople.net,14.4287941,1371413538,46.0324281
default,430,Coworking Space Toronto,-79.5241625,1368131669,43.5964282
default,424,spielend - programmieren,16.3690078,1385497198,48.2249234
attraction,9068,KAMRAN CHATTHA,72.7940368652344,1483131158,31.8180638159099
default,9069,KAMRAN CHATTHA,72.9093933105469,1483131182,31.6855232841456
cafe,472,Everything Dolce Cafe`,-82.6477614,1415826389,27.7713247
shopping,469,Carolina Herrera,-3.6881045,1415273114,40.4226354
default,470,Nestor Games,-0.9186542,1385709246,41.645174
default,471,Traductor inglés/francés a español,-0.888857,1402386618,41.628862
default,478,My Doctor Medical Group,-122.4077704,1372266792,37.7895241
